#count	mode	opcode	ext	mnemonic	rm
670214	32	F7	/4	?	r
669083	16	80	/2	?	r
645876	32	0F 83	-	?	r
643110	16	C2	-	?	r
641767	32	32	-	?	r
637615	32	42	-	?	r
635837	32	F7	/2	?	r
632350	32	29	-	?	m
624505	32	83	/0	?	m
622122	32	0F BE	-	?	r
615086	32	0A	-	?	r
605052	32	2C	-	?	r
601270	32	04	-	?	r
599629	32	09	-	?	r
599626	32	7E	-	?	r
599621	32	F7	/6	?	r
599615	32	05	-	?	r
599603	32	81	/0	?	r
599597	32	81	/5	?	r
599596	32	69	-	?	m
599592	32	A4	-	?	r
599590	32	0F AF	-	?	r
599589	32	6F	-	?	r
591990	32	AC	-	?	r
553173	32	F8	-	?	r
542510	32	0F A9	-	?	r
533988	16	7C	-	?	r
518864	16	80	/5	?	r
505487	32	FF	/2	?	r
496168	32	23	-	?	m
489486	32	BB	-	?	r
481589	32	6B	-	?	r
477571	32	81	/4	?	m
477150	32	0F 86	-	?	r
474868	32	22	-	?	m
473949	32	A2	-	?	r
470545	32	FD	-	?	r
468679	32	09	-	?	m
464930	32	BA	-	?	r
463883	32	0F A8	-	?	r
455325	16	6A	-	?	r
454025	32	AF	-	?	r
453695	16	E4	-	?	r
453571	32	7D	-	?	r
443585	32	0B	-	?	m
443584	32	0F BA	/6	?	m
425332	16	48	-	?	r
418888	16	0E	-	?	r
411468	32	0F A0	-	?	r
411258	32	0D	-	?	r
410997	32	0F A1	-	?	r
402447	32	79	-	?	r
395163	32	83	/5	?	m
393119	16	33	-	?	m
384275	16	24	-	?	r
379375	32	D1	/4	?	m
377974	16	AD	-	?	r
372971	32	83	/4	?	m
368790	32	08	-	?	m
367221	32	F7	/6	?	m
362411	32	D0	/4	?	r
358181	16	11	-	?	m
353884	16	4F	-	?	r
352727	32	A0	-	?	r
338443	16	4A	-	?	r
327817	16	A5	-	?	r
324875	32	FE	/0	?	m
314453	32	C1	/1	?	m
312358	16	05	-	?	r
311646	16	03	-	?	m
309526	32	0F 8F	-	?	r
307130	32	83	/1	?	r
306990	32	FE	/1	?	m
302459	32	A9	-	?	r
301124	32	CF	-	?	r
299796	32	4E	-	?	r
299796	32	F7	/7	?	r
299795	32	6D	-	?	r
297087	32	4F	-	?	r
295309	32	C0	/4	?	r
294662	16	D1	/5	?	r
294499	32	1C	-	?	r
291792	32	A3	-	?	r
289131	32	AB	-	?	r
273358	16	AC	-	?	r
260371	32	80	/5	?	r
259467	32	D1	/2	?	r
257521	16	0F 8D	-	?	r
257130	16	0F 82	-	?	r
254640	32	0F 8C	-	?	r
246894	16	D0	/5	?	r
237679	32	8E	-	?	m
236858	16	31	-	?	m
233912	32	8C	-	?	r
219061	32	D1	/5	?	r
215388	32	3A	-	?	m
215385	32	1E	-	?	r
213455	32	07	-	?	r
212759	32	C1	/1	?	r
208702	32	1F	-	?	r
206226	32	06	-	?	r
205269	32	02	-	?	m
204728	16	81	/0	?	r
198474	32	0F 94	/0	?	r
196495	16	0F AC	-	?	r
194865	16	C1	/0	?	r
194481	32	CB	-	?	r
192933	32	0E	-	?	r
188476	16	79	-	?	r
186127	32	D3	/4	?	r
184215	32	0F 01	/3	?	m
182725	32	0F BA	/4	?	m
179394	32	0F 95	/0	?	r
173892	16	2D	-	?	r
169650	32	8C	-	?	m
163427	16	7D	-	?	r
160864	16	2A	-	?	m
159773	16	D0	/2	?	r
157315	32	E0	-	?	r
153934	32	2A	-	?	r
150444	32	0F BA	/5	?	m
148606	32	3A	-	?	r
145324	16	AE	-	?	r
142898	16	FE	/1	?	r
141128	16	F7	/2	?	r
140126	32	20	-	?	m
138503	32	80	/1	?	r
136682	32	0F BF	-	?	m
136428	16	E6	-	?	r
135246	32	0F AB	-	?	m
135063	32	87	-	?	r
134964	32	D0	/0	?	r
133217	16	E0	-	?	r
131876	16	83	/1	?	r
128274	16	3A	-	?	r
127316	32	AE	-	?	r
125765	16	0F A1	-	?	r
122209	16	25	-	?	r
116592	16	43	-	?	r
114241	32	D1	/1	?	r
113495	16	EA	-	?	r
111732	16	85	-	?	m
111609	16	0F A9	-	?	r
110088	32	83	/1	?	m
109500	16	80	/6	?	r
107740	16	83	/0	?	m
107671	32	83	/2	?	m
105227	32	AA	-	?	r
104594	32	2D	-	?	r
104367	32	C1	/0	?	r
99925	16	D1	/3	?	r
97098	16	01	-	?	r
95405	16	63	-	?	m
95262	16	41	-	?	r
94688	32	0F 8D	-	?	r
92575	32	F5	-	?	r
91907	16	A7	-	?	r
90593	32	0F BA	/6	?	r
78884	32	D1	/4	?	r
76326	32	F4	-	?	r
73528	16	4B	-	?	r
70684	32	21	-	?	m
67604	32	4B	-	?	r
66631	32	81	/1	?	r
63008	32	FE	/1	?	r
61209	16	EE	-	?	r
61140	16	0C	-	?	r
60533	16	0F 01	/4	?	r
60529	16	D1	/5	?	m
59808	32	0F B3	-	?	m
56983	16	A6	-	?	r
56195	16	49	-	?	r
55075	32	45	-	?	r
53933	16	22	-	?	r
49461	32	0F A3	-	?	m
48911	32	D1	/0	?	r
47958	16	83	/2	?	r
45672	32	D0	/1	?	r
43868	16	D7	-	?	r
43836	16	0F BF	-	?	m
42721	16	7E	-	?	r
42695	16	F7	/4	?	r
42321	16	83	/2	?	m
41612	32	A7	-	?	r
40842	16	0F B7	-	?	m
39796	16	0F BF	-	?	r
39459	16	B6	-	?	r
39241	32	13	-	?	r
39079	16	29	-	?	m
38888	32	F7	/4	?	m
37146	32	14	-	?	r
35315	32	A6	-	?	r
35265	32	FE	/0	?	r
34145	32	00	-	?	m
32998	32	0F BF	-	?	r
31743	32	0F 92	/0	?	m
30909	32	B3	-	?	r
29236	32	81	/1	?	m
28842	16	83	/3	?	r
28475	16	81	/0	?	m
27371	16	4E	-	?	r
27224	16	02	-	?	r
27165	32	0F BA	/4	?	r
26970	16	30	-	?	m
26389	32	C1	/7	?	r
26335	16	99	-	?	r
25951	32	69	-	?	r
25824	32	D2	/4	?	r
25132	16	FE	/0	?	r
23938	16	81	/4	?	r
23825	32	D1	/7	?	r
23193	32	91	-	?	r
22254	32	80	/2	?	m
21997	32	0F 22	-	?	r
21920	16	F7	/0	?	r
21819	32	83	/3	?	r
21574	16	86	-	?	m
21282	32	84	-	?	m
21080	32	4D	-	?	r
20926	16	6B	-	?	r
20635	16	04	-	?	r
20610	16	42	-	?	r
20467	16	F7	/3	?	r
20391	32	80	/0	?	m
20312	16	22	-	?	m
20301	16	D0	/1	?	r
19542	32	B4	-	?	r
19473	32	80	/5	?	m
19254	32	0F 00	/0	?	m
19238	32	0F 02	-	?	m
18879	16	D1	/1	?	r
18826	32	C8	-	?	r
18745	16	80	/1	?	r
18615	16	D1	/0	?	r
