count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
3219	32:8dbe	1	32	8dbed4040000	6	4	4	-	-	0	8d	-	base_d32	2	7	6	6	-	-	1236	32	40	-	0	1	lea edi, [esi+0x4D4]	op@0:8=8d mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:32=1236
3219	32:8dbe	1	32	8dbeb4000000	6	4	4	-	-	0	8d	-	base_d32	2	7	6	6	-	-	180	32	40	-	0	1	lea edi, [esi+0xB4]	op@0:8=8d mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:32=180
3206	32:660fb64b	1	32	660fb64bfe	5	2	4	-	-	1	0fb6	-	base_d8	1	1	3	3	-	-	-2	8	16	-	0	1	movzx cx, byte [ebx-2]	pfx@0:8=66 op@8:16=0fb6 mod@30:2=1 reg@27:3=1 rm@24:3=3 disp@32:8=-2
3205	32:660fb653	1	32	660fb653ff	5	2	4	-	-	1	0fb6	-	base_d8	1	2	3	3	-	-	-1	8	16	-	0	1	movzx dx, byte [ebx-1]	pfx@0:8=66 op@8:16=0fb6 mod@30:2=1 reg@27:3=2 rm@24:3=3 disp@32:8=-1
3201	32:66c74424	1	32	66c74424260002	7	2	4	-	-	1	c7	0	sib_d8	1	0	4	4	-	0	38	8	24	0x200	16	1	mov word [esp+0x26], 0x200	pfx@0:8=66 op@8:8=c7 mod@22:2=1 reg@19:3=0 rm@16:3=4 base@24:3=4 index@27:3=4 scale@30:2=0 disp@32:8=38 imm@40:16=0x200
3201	32:66c74424	1	32	66c7442412ffff	7	2	4	-	-	1	c7	0	sib_d8	1	0	4	4	-	0	18	8	24	0xffff	16	1	mov word [esp+0x12], 0xFFFF	pfx@0:8=66 op@8:8=c7 mod@22:2=1 reg@19:3=0 rm@16:3=4 base@24:3=4 index@27:3=4 scale@30:2=0 disp@32:8=18 imm@40:16=0xffff
3200	32:8a1b	1	32	8a1b	2	4	4	-	-	0	8a	-	base	0	3	3	3	-	-	-	0	8	-	0	1	mov bl, [ebx]	op@0:8=8a mod@14:2=0 reg@11:3=3 rm@8:3=3
3200	32:8810	1	32	8810	2	4	4	-	-	0	88	-	base	0	2	0	0	-	-	-	0	8	-	0	1	mov [eax], dl	op@0:8=88 mod@14:2=0 reg@11:3=2 rm@8:3=0
3194	32:85f8	1	32	85f8	2	4	4	-	-	0	85	-	reg_direct	3	7	0	-	-	-	-	0	8	-	0	1	test eax, edi	op@0:8=85 mod@14:2=3 reg@11:3=7 rm@8:3=0
3192	32:0ac0	1	32	0ac0	2	4	4	-	-	0	0a	-	reg_direct	3	0	0	-	-	-	-	0	8	-	0	1	or al, al	op@0:8=0a mod@14:2=3 reg@11:3=0 rm@8:3=0
3184	32:c702	1	32	c70202000000	6	4	4	-	-	0	c7	0	base	0	0	2	2	-	-	-	0	8	0x2	32	1	mov dword [edx], 2	op@0:8=c7 mod@14:2=0 reg@11:3=0 rm@8:3=2 imm@16:32=0x2
3184	32:c702	1	32	c70216000000	6	4	4	-	-	0	c7	0	base	0	0	2	2	-	-	-	0	8	0x16	32	1	mov dword [edx], 0x16	op@0:8=c7 mod@14:2=0 reg@11:3=0 rm@8:3=2 imm@16:32=0x16
3180	32:3950	1	32	395004	3	4	4	-	-	0	39	-	base_d8	1	2	0	0	-	-	4	8	16	-	0	1	cmp [eax+4], edx	op@0:8=39 mod@14:2=1 reg@11:3=2 rm@8:3=0 disp@16:8=4
3180	32:3950	1	32	395038	3	4	4	-	-	0	39	-	base_d8	1	2	0	0	-	-	56	8	16	-	0	1	cmp [eax+0x38], edx	op@0:8=39 mod@14:2=1 reg@11:3=2 rm@8:3=0 disp@16:8=56
3176	32:83d1	1	32	83d100	3	4	4	-	-	0	83	2	reg_direct	3	2	1	-	-	-	-	0	8	0x0	8	1	adc ecx, 0	op@0:8=83 mod@14:2=3 reg@11:3=2 rm@8:3=1 imm@16:8=0x0
3176	32:0fbec8	1	32	0fbec8	3	4	4	-	-	0	0fbe	-	reg_direct	3	1	0	-	-	-	-	0	8	-	0	1	movsx ecx, al	op@0:16=0fbe mod@22:2=3 reg@19:3=1 rm@16:3=0
3168	32:8b4c0d	1	32	8b4c0de0	4	4	4	-	-	0	8b	-	sib_d8	1	1	4	5	1	0	-32	8	24	-	0	1	mov ecx, [ebp+ecx-0x20]	op@0:8=8b mod@14:2=1 reg@11:3=1 rm@8:3=4 base@16:3=5 index@19:3=1 scale@22:2=0 disp@24:8=-32
3150	32:f602	1	32	f60201	3	4	4	-	-	0	f6	0	base	0	0	2	2	-	-	-	0	8	0x1	8	1	test byte [edx], 1	op@0:8=f6 mod@14:2=0 reg@11:3=0 rm@8:3=2 imm@16:8=0x1
3149	32:f3666d	1	32	f3666d	3	2	4	-	rep	2	6d	-	-	-	-	-	-	-	-	-	0	0	-	0	1	rep insw	pfx@0:16=f366 op@16:8=6d
3146	16:6689d1	1	16	6689d1	3	4	2	-	-	1	89	-	reg_direct	3	2	1	-	-	-	-	0	8	-	0	1	mov ecx, edx	pfx@0:8=66 op@8:8=89 mod@22:2=3 reg@19:3=2 rm@16:3=1
3146	16:678363	1	16	67836324fe	5	2	4	-	-	1	83	4	base_d8	1	4	3	3	-	-	36	8	16	0xfe	8	1	and word [ebx+0x24], 0xFFFE	pfx@0:8=67 op@8:8=83 mod@22:2=1 reg@19:3=4 rm@16:3=3 disp@24:8=36 imm@32:8=0xfe
3136	16:8ec5	1	16	8ec5	2	2	2	-	-	0	8e	-	reg_direct	3	0	5	-	-	-	-	0	8	-	0	1	mov es, bp	op@0:8=8e mod@14:2=3 reg@11:3=0 rm@8:3=5
3135	32:884e	1	32	884e02	3	4	4	-	-	0	88	-	base_d8	1	1	6	6	-	-	2	8	16	-	0	1	mov [esi+2], cl	op@0:8=88 mod@14:2=1 reg@11:3=1 rm@8:3=6 disp@16:8=2
3135	32:884e	1	32	884e30	3	4	4	-	-	0	88	-	base_d8	1	1	6	6	-	-	48	8	16	-	0	1	mov [esi+0x30], cl	op@0:8=88 mod@14:2=1 reg@11:3=1 rm@8:3=6 disp@16:8=48
3130	32:0bc2	1	32	0bc2	2	4	4	-	-	0	0b	-	reg_direct	3	0	2	-	-	-	-	0	8	-	0	1	or eax, edx	op@0:8=0b mod@14:2=3 reg@11:3=0 rm@8:3=2
3128	32:0fb709	1	32	0fb709	3	4	4	-	-	0	0fb7	-	base	0	1	1	1	-	-	-	0	8	-	0	1	movzx ecx, word [ecx]	op@0:16=0fb7 mod@22:2=0 reg@19:3=1 rm@16:3=1
3126	16:6689cf	1	16	6689cf	3	4	2	-	-	1	89	-	reg_direct	3	1	7	-	-	-	-	0	8	-	0	1	mov edi, ecx	pfx@0:8=66 op@8:8=89 mod@22:2=3 reg@19:3=1 rm@16:3=7
3124	16:49	1	16	49	1	2	2	-	-	0	49	-	-	-	-	-	-	-	-	-	0	0	-	0	1	dec cx	op@0:8=49
3122	16:cd	1	16	cd1c	2	2	2	-	-	0	cd	-	-	-	-	-	-	-	-	-	0	0	0x1c	8	1	int 0x1C	op@0:8=cd imm@8:8=0x1c
3122	16:cd	1	16	cd10	2	2	2	-	-	0	cd	-	-	-	-	-	-	-	-	-	0	0	0x10	8	1	int 0x10	op@0:8=cd imm@8:8=0x10
3120	32:8d3c32	1	32	8d3c32	3	4	4	-	-	0	8d	-	sib_base	0	7	4	2	6	0	-	0	16	-	0	1	lea edi, [edx+esi]	op@0:8=8d mod@14:2=0 reg@11:3=7 rm@8:3=4 base@16:3=2 index@19:3=6 scale@22:2=0
3116	32:3bd3	1	32	3bd3	2	4	4	-	-	0	3b	-	reg_direct	3	2	3	-	-	-	-	0	8	-	0	1	cmp edx, ebx	op@0:8=3b mod@14:2=3 reg@11:3=2 rm@8:3=3
3107	32:8545	1	32	85450c	3	4	4	-	-	0	85	-	base_d8	1	0	5	5	-	-	12	8	16	-	0	1	test [ebp+0xC], eax	op@0:8=85 mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=12
3107	32:8545	1	32	8545f4	3	4	4	-	-	0	85	-	base_d8	1	0	5	5	-	-	-12	8	16	-	0	1	test [ebp-0xC], eax	op@0:8=85 mod@14:2=1 reg@11:3=0 rm@8:3=5 disp@16:8=-12
3106	32:66397d	1	32	66397dfa	4	2	4	-	-	1	39	-	base_d8	1	7	5	5	-	-	-6	8	16	-	0	1	cmp [ebp-6], di	pfx@0:8=66 op@8:8=39 mod@22:2=1 reg@19:3=7 rm@16:3=5 disp@24:8=-6
3098	32:832d	1	32	832dc8c6148003	7	4	4	-	-	0	83	5	abs32	0	5	5	-	-	-	-2146122040	32	40	0x3	8	1	sub dword [0x8014C6C8], 3	op@0:8=83 mod@14:2=0 reg@11:3=5 rm@8:3=5 disp@16:32=-2146122040 imm@48:8=0x3
3098	32:832d	1	32	832d282a12a004	7	4	4	-	-	0	83	5	abs32	0	5	5	-	-	-	-1609422296	32	40	0x4	8	1	sub dword [0xA0122A28], 4	op@0:8=83 mod@14:2=0 reg@11:3=5 rm@8:3=5 disp@16:32=-1609422296 imm@48:8=0x4
3086	32:f6d3	1	32	f6d3	2	4	4	-	-	0	f6	2	reg_direct	3	2	3	-	-	-	-	0	8	-	0	1	not bl	op@0:8=f6 mod@14:2=3 reg@11:3=2 rm@8:3=3
3074	32:0371	1	32	037104	3	4	4	-	-	0	03	-	base_d8	1	6	1	1	-	-	4	8	16	-	0	1	add esi, [ecx+4]	op@0:8=03 mod@14:2=1 reg@11:3=6 rm@8:3=1 disp@16:8=4
3074	32:205c16	1	32	205c1670	4	4	4	-	-	0	20	-	sib_d8	1	3	4	6	2	0	112	8	24	-	0	1	and [esi+edx+0x70], bl	op@0:8=20 mod@14:2=1 reg@11:3=3 rm@8:3=4 base@16:3=6 index@19:3=2 scale@22:2=0 disp@24:8=112
3070	32:0fb7c7	1	32	0fb7c7	3	4	4	-	-	0	0fb7	-	reg_direct	3	0	7	-	-	-	-	0	8	-	0	1	movzx eax, di	op@0:16=0fb7 mod@22:2=3 reg@19:3=0 rm@16:3=7
3068	32:3ad8	1	32	3ad8	2	4	4	-	-	0	3a	-	reg_direct	3	3	0	-	-	-	-	0	8	-	0	1	cmp bl, al	op@0:8=3a mod@14:2=3 reg@11:3=3 rm@8:3=0
3066	32:3939	1	32	3939	2	4	4	-	-	0	39	-	base	0	7	1	1	-	-	-	0	8	-	0	1	cmp [ecx], edi	op@0:8=39 mod@14:2=0 reg@11:3=7 rm@8:3=1
3064	32:8d9f	1	32	8d9fc0f9ffff	6	4	4	-	-	0	8d	-	base_d32	2	3	7	7	-	-	-1600	32	40	-	0	1	lea ebx, [edi-0x640]	op@0:8=8d mod@14:2=2 reg@11:3=3 rm@8:3=7 disp@16:32=-1600
3064	32:8d9f	1	32	8d9fa0000000	6	4	4	-	-	0	8d	-	base_d32	2	3	7	7	-	-	160	32	40	-	0	1	lea ebx, [edi+0xA0]	op@0:8=8d mod@14:2=2 reg@11:3=3 rm@8:3=7 disp@16:32=160
3060	32:668b1408	1	32	668b1408	4	2	4	-	-	1	8b	-	sib_base	0	2	4	0	1	0	-	0	16	-	0	1	mov dx, [eax+ecx]	pfx@0:8=66 op@8:8=8b mod@22:2=0 reg@19:3=2 rm@16:3=4 base@24:3=0 index@27:3=1 scale@30:2=0
3052	32:2bcf	1	32	2bcf	2	4	4	-	-	0	2b	-	reg_direct	3	1	7	-	-	-	-	0	8	-	0	1	sub ecx, edi	op@0:8=2b mod@14:2=3 reg@11:3=1 rm@8:3=7
3051	32:804f	1	32	804f0c08	4	4	4	-	-	0	80	1	base_d8	1	1	7	7	-	-	12	8	16	0x8	8	1	or byte [edi+0xC], 8	op@0:8=80 mod@14:2=1 reg@11:3=1 rm@8:3=7 disp@16:8=12 imm@24:8=0x8
3051	32:804f	1	32	804f0220	4	4	4	-	-	0	80	1	base_d8	1	1	7	7	-	-	2	8	16	0x20	8	1	or byte [edi+2], 0x20	op@0:8=80 mod@14:2=1 reg@11:3=1 rm@8:3=7 disp@16:8=2 imm@24:8=0x20
3046	32:23f8	1	32	23f8	2	4	4	-	-	0	23	-	reg_direct	3	7	0	-	-	-	-	0	8	-	0	1	and edi, eax	op@0:8=23 mod@14:2=3 reg@11:3=7 rm@8:3=0
3040	32:ffd7	1	32	ffd7	2	4	4	-	-	0	ff	2	reg_direct	3	2	7	-	-	-	-	0	8	-	0	1	call edi	op@0:8=ff mod@14:2=3 reg@11:3=2 rm@8:3=7
3038	16:6689c7	1	16	6689c7	3	4	2	-	-	1	89	-	reg_direct	3	0	7	-	-	-	-	0	8	-	0	1	mov edi, eax	pfx@0:8=66 op@8:8=89 mod@22:2=3 reg@19:3=0 rm@16:3=7
3028	16:47	1	16	47	1	2	2	-	-	0	47	-	-	-	-	-	-	-	-	-	0	0	-	0	1	inc di	op@0:8=47
3016	16:68	1	16	6855d9	3	2	2	-	-	0	68	-	-	-	-	-	-	-	-	-	0	0	0xd955	16	1	push 0xD955	op@0:8=68 imm@8:16=0xd955
3016	16:68	1	16	68c007	3	2	2	-	-	0	68	-	-	-	-	-	-	-	-	-	0	0	0x7c0	16	1	push 0x7C0	op@0:8=68 imm@8:16=0x7c0
3013	32:83ef	1	32	83ef04	3	4	4	-	-	0	83	5	reg_direct	3	5	7	-	-	-	-	0	8	0x4	8	1	sub edi, 4	op@0:8=83 mod@14:2=3 reg@11:3=5 rm@8:3=7 imm@16:8=0x4
3013	32:83ef	1	32	83ef18	3	4	4	-	-	0	83	5	reg_direct	3	5	7	-	-	-	-	0	8	0x18	8	1	sub edi, 0x18	op@0:8=83 mod@14:2=3 reg@11:3=5 rm@8:3=7 imm@16:8=0x18
3012	32:390a	1	32	390a	2	4	4	-	-	0	39	-	base	0	1	2	2	-	-	-	0	8	-	0	1	cmp [edx], ecx	op@0:8=39 mod@14:2=0 reg@11:3=1 rm@8:3=2
3011	32:f683	1	32	f683c800000004	7	4	4	-	-	0	f6	0	base_d32	2	0	3	3	-	-	200	32	40	0x4	8	1	test byte [ebx+0xC8], 4	op@0:8=f6 mod@14:2=2 reg@11:3=0 rm@8:3=3 disp@16:32=200 imm@48:8=0x4
3011	32:f683	1	32	f683c200000001	7	4	4	-	-	0	f6	0	base_d32	2	0	3	3	-	-	194	32	40	0x1	8	1	test byte [ebx+0xC2], 1	op@0:8=f6 mod@14:2=2 reg@11:3=0 rm@8:3=3 disp@16:32=194 imm@48:8=0x1
3010	32:23c0	1	32	23c0	2	4	4	-	-	0	23	-	reg_direct	3	0	0	-	-	-	-	0	8	-	0	1	and eax, eax	op@0:8=23 mod@14:2=3 reg@11:3=0 rm@8:3=0
