bytes                 , mode, len,   count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                   , res             , end_expr         , end, end_ok, text
83c706                ,   32,   3,  245647,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=7};imm8=0x6@16:8                                 ", alu=3           , @modrm8 + 8      ,  24,      1, "add edi, 6                            "
83c768                ,   32,   3,  245647,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=reg_direct,mod=3,reg=0,rm=7};imm8=0x68@16:8                                ", alu=3           , @modrm8 + 8      ,  24,      1, "add edi, 0x68                         "
49                    ,   32,   1,  239988,  0,   0,   4,   4,    ,      , dec_r      , dec_r                 , opreg=1                                                                                , alu=2           , 8                ,   8,      1, dec ecx
b801000000            ,   32,   5,  238611,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=0;immz=0x1@8:32                                                                  , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov eax, 1                            "
b83e7c0f00            ,   32,   5,  238611,  0,   0,   4,   4,    ,      , mov_riv    , mov_riv               , opreg=0;immz=0xf7c3e@8:32                                                              , load_imm=2      , 8 + p.osz*8      ,  40,      1, "mov eax, 0xF7C3E                      "
8b4c2404              ,   32,   4,  231322,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=1,rm=4,b=4,s=0,disp=4@24:8};w=1                           ", move=2          , @modrm8          ,  32,      1, "mov ecx, [esp+4]                      "
8b4c2414              ,   32,   4,  231322,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=sib_d8,mod=1,reg=1,rm=4,b=4,s=0,disp=20@24:8};w=1                          ", move=2          , @modrm8          ,  32,      1, "mov ecx, [esp+0x14]                   "
2500f8ffff            ,   32,   5,  230170,  0,   0,   4,   4,    ,      , and_ai     , _                     ,                                                                                        , trap_undefined=1,                  ,    ,       , "and eax, 0xFFFFF800                   "
64a13c000000          ,   32,   6,  229860,  8,   1,   4,   4, fs ,      , mov_a_moffs, mov_a_moffs           , moffs=0x3c@16:32;w=1                                                                   , move=6          , 8 + p.asz*8      ,  40,      1, "mov eax, [fs:0x3C]                    "
64a100000000          ,   32,   6,  229860,  8,   1,   4,   4, fs ,      , mov_a_moffs, mov_a_moffs           , moffs=0x0@16:32;w=1                                                                    , move=6          , 8 + p.asz*8      ,  40,      1, "mov eax, [fs:0]                       "
8b4a08                ,   32,   3,  227898,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=1,rm=2,b=2,disp=8@16:8};w=1                              ", move=2          , @modrm8          ,  24,      1, "mov ecx, [edx+8]                      "
8b4a20                ,   32,   3,  227898,  0,   0,   4,   4,    ,      , mov_rm     , mov_rm                , "modrm8{kind=base_d8,mod=1,reg=1,rm=2,b=2,disp=32@16:8};w=1                             ", move=2          , @modrm8          ,  24,      1, "mov ecx, [edx+0x20]                   "
6683395c              ,   32,   4,  226697,  8,   1,   2,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=base,mod=0,reg=7,rm=1,b=1};imm8=0x5c@24:8                                  ", alu=4           , @modrm8 + 8      ,  24,      1, "cmp word [ecx], 0x5C                  "
66833948              ,   32,   4,  226697,  8,   1,   2,   4,    ,      , cmp_mis    , cmp_mis               , "modrm8{kind=base,mod=0,reg=7,rm=1,b=1};imm8=0x48@24:8                                  ", alu=4           , @modrm8 + 8      ,  24,      1, "cmp word [ecx], 0x48                  "
8345f404              ,   32,   4,  225749,  0,   0,   4,   4,    ,      , add_mis    , add_mis               , "modrm8{kind=base_d8,mod=1,reg=0,rm=5,b=5,disp=-12@16:8};imm8=0x4@24:8                  ", alu=3           , @modrm8 + 8      ,  32,      1, "add dword [ebp-0xC], 4                "
