count	shape	phase	mode	bytes	len	osz	asz	seg	rep	pfxn	op	fixg	kind	mod	reg	rm	b	x	s	disp	dispbits	modrmbits	imm	immbits	ok	text	fields
434	32:662b5d	1	32	662b5dfe	4	2	4	-	-	1	2b	-	base_d8	1	3	5	5	-	-	-2	8	16	-	0	1	sub bx, [ebp-2]	pfx@0:8=66 op@8:8=2b mod@22:2=1 reg@19:3=3 rm@16:3=5 disp@24:8=-2
434	32:0fb606	1	32	0fb606	3	4	4	-	-	0	0fb6	-	base	0	0	6	6	-	-	-	0	8	-	0	1	movzx eax, byte [esi]	op@0:16=0fb6 mod@22:2=0 reg@19:3=0 rm@16:3=6
434	32:0fbf06	1	32	0fbf06	3	4	4	-	-	0	0fbf	-	base	0	0	6	6	-	-	-	0	8	-	0	1	movsx eax, word [esi]	op@0:16=0fbf mod@22:2=0 reg@19:3=0 rm@16:3=6
434	32:23f6	1	32	23f6	2	4	4	-	-	0	23	-	reg_direct	3	6	6	-	-	-	-	0	8	-	0	1	and esi, esi	op@0:8=23 mod@14:2=3 reg@11:3=6 rm@8:3=6
434	16:32c9	1	16	32c9	2	2	2	-	-	0	32	-	reg_direct	3	1	1	-	-	-	-	0	8	-	0	1	xor cl, cl	op@0:8=32 mod@14:2=3 reg@11:3=1 rm@8:3=1
433	32:8dbe	1	32	8dbea0000000	6	4	4	-	-	0	8d	-	base_d32	2	7	6	6	-	-	160	32	40	-	0	1	lea edi, [esi+0xA0]	op@0:8=8d mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:32=160
433	32:8dbe	1	32	8dbed9000000	6	4	4	-	-	0	8d	-	base_d32	2	7	6	6	-	-	217	32	40	-	0	1	lea edi, [esi+0xD9]	op@0:8=8d mod@14:2=2 reg@11:3=7 rm@8:3=6 disp@16:32=217
433	32:3971	1	32	397104	3	4	4	-	-	0	39	-	base_d8	1	6	1	1	-	-	4	8	16	-	0	1	cmp [ecx+4], esi	op@0:8=39 mod@14:2=1 reg@11:3=6 rm@8:3=1 disp@16:8=4
433	32:3971	1	32	397110	3	4	4	-	-	0	39	-	base_d8	1	6	1	1	-	-	16	8	16	-	0	1	cmp [ecx+0x10], esi	op@0:8=39 mod@14:2=1 reg@11:3=6 rm@8:3=1 disp@16:8=16
432	16:64f606	1	16	64f606471402	6	2	2	fs	-	1	f6	0	abs16	0	0	6	-	-	-	5191	16	24	0x2	8	1	test byte [fs:0x1447], 2	pfx@0:8=64 op@8:8=f6 mod@22:2=0 reg@19:3=0 rm@16:3=6 disp@24:16=5191 imm@40:8=0x2
432	16:64f606	1	16	64f606e61901	6	2	2	fs	-	1	f6	0	abs16	0	0	6	-	-	-	6630	16	24	0x1	8	1	test byte [fs:0x19E6], 1	pfx@0:8=64 op@8:8=f6 mod@22:2=0 reg@19:3=0 rm@16:3=6 disp@24:16=6630 imm@40:8=0x1
