bytes                   , mode, len,    count, at, pfx, osz, asz, seg, rep  , variant    , arm                   , args                                                                                      , res             , end_expr         , end, end_ok, text
59                      ,   32,   1,   794988,  0,   0,   4,   4,    ,      , pop_r      , pop_r                 , opreg=1                                                                                   , stack=2         , 8                ,   8,      1, pop ecx
268805                  ,   16,   3,   786576,  8,   1,   2,   2, es ,      , mov_mr     , mov_mr                , "modrm8{kind=base16,mod=0,reg=0,rm=5};w=0                                                  ", move=3          , @modrm8          ,  16,      1, "mov [es:di], al                         "
c0c801                  ,   16,   3,   785398,  0,   0,   2,   2,    ,      , ror_mi     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , "ror al, 1                               "
7ba7                    ,   16,   2,   777253,  0,   0,   2,   2,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , jnp short 0xFFA9
7b38                    ,   16,   2,   777253,  0,   0,   2,   2,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , jnp short 0x003A
7804                    ,   16,   2,   776580,  0,   0,   2,   2,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , js short 6
7808                    ,   16,   2,   776580,  0,   0,   2,   2,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , js short 0x000A
e862e3                  ,   16,   3,   754426,  0,   0,   2,   2,    ,      , call_rel   , call_rel              , rel=0xe362@8:16                                                                           , call=1          , 8 + p.osz*8      ,  24,      1, call 0xE365
e81cdc                  ,   16,   3,   754426,  0,   0,   2,   2,    ,      , call_rel   , call_rel              , rel=0xdc1c@8:16                                                                           , call=1          , 8 + p.osz*8      ,  24,      1, call 0xDC1F
52                      ,   32,   1,   754144,  0,   0,   4,   4,    ,      , push_r     , push_r                , opreg=2                                                                                   , stack=1         , 8                ,   8,      1, push edx
42                      ,   32,   1,   750916,  0,   0,   4,   4,    ,      , inc_r      , inc_r                 , opreg=2                                                                                   , alu=1           , 8                ,   8,      1, inc edx
7305                    ,   32,   2,   744463,  0,   0,   4,   4,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , jae short 7
7302                    ,   32,   2,   744463,  0,   0,   4,   4,    ,      , jshort     , _                     ,                                                                                           , trap_undefined=1,                  ,    ,       , jae short 4
